from_place,Destination,Travel_Mode,Accommodation_Type,Food_Preference,Activity,Purpose,Travel_Duration_Days,Season,Month,Group_Size,Distance_in_km,Specific_Interests,Discounts_Offers,Destination_Popularity,Cost_Transportation,Cost_Accommodation,Cost_Food,Cost_Activities,Age_Group,Income_Level,Budget
Bangalore,Kerala,Train,Hotel,Vegetarian,Cultural Events,Pilgrimage,7,Autumn,November,6,2654,Adventure Sports,Hotel Membership,Medium,5256,6102,2986,672,Youth,High,18386
Delhi,Shimla,Train,Homestay,Budget Meals,Trekking,Pilgrimage,10,Summer,June,3,1971,Religious Sites,Airline Miles,Low,7121,7179,3872,9684,Adult,Middle,25720
Mumbai,Goa,Car,Hotel,Vegetarian,Relaxation,Work,11,Summer,March,6,2695,Beaches,Hotel Membership,Low,13172,18430,2702,7265,Youth,Low,22380
Delhi,Shimla,Flight,Hostel,Local Cuisine,Shopping,Work,10,Summer,March,3,502,Adventure Sports,None,High,9764,1725,2023,2175,Adult,Middle,40600
Mumbai,Mumbai,Flight,Homestay,Vegetarian,Trekking,Pilgrimage,4,Summer,December,4,83,Beaches,Travel Discounts,Medium,7084,16194,759,5910,Youth,Low,12014
Delhi,Jaipur,Train,Homestay,Local Cuisine,Relaxation,Work,14,Winter,May,4,342,Beaches,Airline Miles,Medium,5049,2098,2131,8050,Senior,Low,27471
Mumbai,Mumbai,Car,Homestay,Vegetarian,Sightseeing,Adventure,7,Summer,August,4,2841,Beaches,Hotel Membership,Low,5895,7511,3452,1353,Senior,Low,7889
Delhi,Shimla,Train,Homestay,Non-Vegetarian,Cultural Events,Adventure,11,Winter,April,6,1828,Beaches,None,Low,13836,16573,1769,6584,Youth,Low,5633
Bangalore,Kerala,Train,Hotel,Local Cuisine,Relaxation,Work,9,Summer,August,1,2859,Historical Sites,Airline Miles,High,6189,19296,3345,7687,Senior,Low,13352
Mumbai,Mumbai,Bus,Hotel,Local Cuisine,Trekking,Work,13,Winter,December,4,1517,Historical Sites,Travel Discounts,Low,4057,18813,3348,5803,Senior,Middle,11736
Delhi,Jaipur,Car,Hostel,Non-Vegetarian,Trekking,Work,9,Monsoon,October,5,706,Religious Sites,Travel Discounts,Low,9289,13420,2019,806,Senior,Middle,6624
Delhi,Shimla,Car,Hostel,Local Cuisine,Trekking,Leisure,9,Summer,June,6,309,Wildlife,Hotel Membership,Medium,11500,11552,1404,2077,Senior,High,7537
Delhi,Delhi,Train,Resort,Local Cuisine,Shopping,Work,6,Winter,January,2,781,Historical Sites,Travel Discounts,Medium,9615,9386,902,6502,Youth,High,6550
Delhi,Delhi,Car,Homestay,Local Cuisine,Sightseeing,Pilgrimage,8,Winter,January,2,2735,Religious Sites,Hotel Membership,High,14494,9710,4833,1166,Senior,Low,47040
Kolkata,Kolkata,Bus,Hotel,Vegetarian,Shopping,Work,12,Monsoon,February,2,2177,Shopping,Airline Miles,Low,3931,19298,3901,2228,Senior,High,22397
Bangalore,Kerala,Car,Homestay,Local Cuisine,Cultural Events,Leisure,9,Monsoon,November,4,2927,Beaches,Airline Miles,Low,8258,12544,3081,9512,Adult,Middle,42787
Mumbai,Mumbai,Flight,Resort,Vegetarian,Relaxation,Work,8,Autumn,November,4,1374,Religious Sites,Travel Discounts,High,12899,2135,2830,767,Senior,Low,33265
Delhi,Shimla,Bus,Hotel,Local Cuisine,Relaxation,Pilgrimage,13,Monsoon,January,3,958,Historical Sites,None,Medium,6827,6115,1633,4841,Adult,High,31764
Kolkata,Kolkata,Bus,Hostel,Non-Vegetarian,Cultural Events,Adventure,13,Summer,April,3,1280,Wildlife,Travel Discounts,Medium,14528,19881,1281,5421,Youth,High,16405
Bangalore,Bangalore,Bus,Resort,Vegetarian,Shopping,Pilgrimage,6,Autumn,February,1,1419,Religious Sites,Travel Discounts,Medium,9591,2349,3115,9346,Senior,Low,33173
Bangalore,Bangalore,Bus,Resort,Budget Meals,Cultural Events,Work,11,Monsoon,September,6,954,Shopping,Airline Miles,Medium,13883,13921,1712,2665,Adult,Low,36010
Delhi,Rajasthan,Flight,Homestay,Local Cuisine,Sightseeing,Work,13,Autumn,October,6,251,Historical Sites,Airline Miles,Low,4245,16986,3738,9860,Youth,High,25343
Delhi,Delhi,Train,Hotel,Vegetarian,Trekking,Adventure,12,Summer,April,1,1140,Shopping,Travel Discounts,Medium,4120,11509,3322,896,Adult,Low,9772
Kolkata,Kolkata,Train,Resort,Budget Meals,Cultural Events,Work,5,Monsoon,October,4,2602,Historical Sites,Airline Miles,High,2841,2787,2491,2919,Adult,Low,47995
Mumbai,Goa,Flight,Resort,Non-Vegetarian,Trekking,Adventure,3,Monsoon,December,1,1299,Historical Sites,Airline Miles,Low,13293,9475,4995,8413,Senior,High,41530
Bangalore,Kerala,Car,Hostel,Budget Meals,Relaxation,Pilgrimage,15,Summer,December,6,2787,Wildlife,None,High,13930,9889,934,8117,Senior,Low,34004
Delhi,Jaipur,Car,Resort,Non-Vegetarian,Cultural Events,Adventure,7,Winter,July,6,1161,Historical Sites,None,Medium,10782,18418,1221,3554,Youth,High,21203
Mumbai,Mumbai,Car,Hostel,Local Cuisine,Cultural Events,Leisure,14,Autumn,September,6,138,Wildlife,Airline Miles,Medium,12211,12531,3411,5453,Youth,High,23725
Mumbai,Mumbai,Bus,Homestay,Vegetarian,Trekking,Work,6,Monsoon,January,6,1105,Wildlife,Travel Discounts,High,2438,13524,4765,4226,Adult,Low,30102
Delhi,Rajasthan,Train,Hotel,Budget Meals,Cultural Events,Pilgrimage,11,Summer,July,3,2529,Wildlife,Airline Miles,Medium,12280,18164,1607,7546,Youth,High,35534
Mumbai,Goa,Train,Resort,Budget Meals,Relaxation,Leisure,15,Summer,June,1,2332,Adventure Sports,Travel Discounts,Medium,13216,9971,1744,3579,Youth,Low,42728
Kolkata,Varanasi,Flight,Homestay,Local Cuisine,Cultural Events,Adventure,11,Summer,January,5,2577,Wildlife,Hotel Membership,Low,13776,16617,1598,8730,Senior,Middle,40791
Delhi,Delhi,Car,Hostel,Local Cuisine,Cultural Events,Adventure,3,Monsoon,March,4,2062,Beaches,None,Medium,4646,7646,2175,1583,Youth,Middle,30484
Kolkata,Kolkata,Train,Resort,Non-Vegetarian,Relaxation,Leisure,9,Autumn,December,3,1924,Religious Sites,Travel Discounts,Low,10370,18568,4802,1130,Senior,Low,43790
Mumbai,Goa,Flight,Resort,Non-Vegetarian,Cultural Events,Work,3,Autumn,August,1,1056,Wildlife,Travel Discounts,Medium,13675,10368,4279,3227,Adult,Middle,22049
Delhi,Shimla,Train,Resort,Local Cuisine,Shopping,Adventure,7,Winter,December,5,632,Historical Sites,Travel Discounts,Medium,8387,1816,1965,7933,Senior,High,32627
Bangalore,Kerala,Car,Hotel,Vegetarian,Shopping,Work,13,Summer,August,1,1074,Shopping,Travel Discounts,Medium,2397,18164,3646,8883,Senior,Low,9496
Mumbai,Goa,Flight,Hostel,Non-Vegetarian,Sightseeing,Work,6,Autumn,September,4,229,Wildlife,Airline Miles,High,7874,11094,3035,7811,Adult,High,13272
Bangalore,Kerala,Train,Resort,Local Cuisine,Shopping,Work,12,Summer,February,2,880,Historical Sites,Travel Discounts,High,10647,16588,4217,7219,Adult,Low,44796
Bangalore,Kerala,Train,Homestay,Vegetarian,Relaxation,Leisure,7,Winter,April,5,1189,Beaches,None,High,11928,19942,2944,5924,Youth,Low,42735
Kolkata,Kolkata,Car,Hostel,Vegetarian,Relaxation,Work,4,Winter,July,2,710,Religious Sites,Hotel Membership,Medium,7208,3217,4000,9518,Youth,Middle,24764
Bangalore,Bangalore,Flight,Hotel,Local Cuisine,Relaxation,Adventure,13,Autumn,March,1,2895,Wildlife,None,Low,12955,18332,1218,8424,Senior,High,29285
Delhi,Jaipur,Bus,Hotel,Budget Meals,Cultural Events,Leisure,9,Monsoon,July,5,1346,Beaches,Travel Discounts,Low,4812,10518,2085,525,Youth,Low,28736
Kolkata,Varanasi,Train,Resort,Non-Vegetarian,Relaxation,Pilgrimage,12,Autumn,November,1,899,Historical Sites,None,High,12305,10228,2584,1611,Adult,Middle,40269
Kolkata,Varanasi,Car,Homestay,Local Cuisine,Trekking,Leisure,7,Monsoon,January,1,2859,Religious Sites,Hotel Membership,Low,8849,16548,791,2724,Adult,Low,34543
Kolkata,Varanasi,Car,Homestay,Vegetarian,Cultural Events,Pilgrimage,5,Autumn,September,3,1944,Wildlife,Airline Miles,Low,6434,12586,1042,2946,Adult,Low,36952
Delhi,Shimla,Bus,Homestay,Local Cuisine,Relaxation,Pilgrimage,11,Monsoon,July,6,2238,Beaches,None,Medium,2422,17287,2446,6588,Adult,Middle,5665
Delhi,Delhi,Flight,Hostel,Budget Meals,Cultural Events,Work,14,Summer,September,3,766,Historical Sites,Travel Discounts,High,4116,12144,4460,9079,Adult,Middle,36201
Kolkata,Varanasi,Car,Hotel,Vegetarian,Shopping,Work,9,Summer,February,5,2821,Shopping,None,High,12256,3853,3230,8149,Youth,Low,20945
Bangalore,Bangalore,Bus,Resort,Local Cuisine,Cultural Events,Pilgrimage,8,Monsoon,January,5,1328,Beaches,Travel Discounts,High,5467,5892,1790,4983,Youth,Low,34736
Mumbai,Mumbai,Bus,Hostel,Vegetarian,Trekking,Pilgrimage,4,Winter,April,5,1484,Beaches,Airline Miles,Medium,11047,12099,4928,7768,Youth,Low,40118
Delhi,Rajasthan,Train,Hostel,Budget Meals,Shopping,Pilgrimage,4,Winter,August,6,256,Historical Sites,Travel Discounts,Medium,6119,11889,2123,9240,Youth,Middle,17721
Delhi,Delhi,Bus,Hostel,Local Cuisine,Sightseeing,Work,7,Summer,February,6,1968,Adventure Sports,Airline Miles,Low,5227,12909,3711,3504,Senior,High,7982
Delhi,Jaipur,Bus,Hostel,Budget Meals,Sightseeing,Leisure,12,Monsoon,June,4,2046,Religious Sites,Airline Miles,Medium,10903,19831,1543,8822,Youth,Middle,23634
Kolkata,Varanasi,Car,Homestay,Non-Vegetarian,Sightseeing,Pilgrimage,10,Winter,June,5,2710,Wildlife,Airline Miles,High,9977,6210,4451,6788,Youth,Middle,12476
Kolkata,Kolkata,Car,Hotel,Vegetarian,Trekking,Work,15,Summer,December,5,1815,Wildlife,Travel Discounts,Low,10766,16168,3165,9594,Youth,Middle,41886
Bangalore,Kerala,Train,Hotel,Budget Meals,Relaxation,Work,15,Summer,May,4,335,Adventure Sports,Airline Miles,Low,14268,1006,1701,2944,Adult,High,39247
Kolkata,Varanasi,Car,Homestay,Budget Meals,Shopping,Leisure,12,Monsoon,July,5,2417,Beaches,Travel Discounts,Medium,2462,1266,4681,7122,Youth,Middle,11503
Delhi,Delhi,Bus,Hotel,Non-Vegetarian,Trekking,Work,11,Winter,June,5,267,Historical Sites,Travel Discounts,Medium,12661,13543,3826,6751,Adult,High,9919
Mumbai,Goa,Car,Resort,Budget Meals,Shopping,Leisure,6,Summer,November,2,1995,Wildlife,Hotel Membership,High,3200,1380,1087,757,Youth,High,23881
Mumbai,Mumbai,Car,Hotel,Non-Vegetarian,Shopping,Work,9,Autumn,November,4,606,Shopping,Airline Miles,Low,7948,19089,4186,6803,Adult,Low,12521
Delhi,Delhi,Train,Homestay,Non-Vegetarian,Sightseeing,Leisure,5,Summer,July,5,80,Shopping,None,Low,8917,13077,1427,8389,Senior,Low,25159
Bangalore,Bangalore,Bus,Resort,Vegetarian,Cultural Events,Pilgrimage,14,Summer,December,6,2206,Wildlife,None,Low,9834,19993,3059,1364,Adult,High,31378
Delhi,Jaipur,Car,Resort,Vegetarian,Relaxation,Leisure,9,Winter,August,4,2149,Religious Sites,None,Low,13278,10963,2633,1506,Senior,Middle,26123
Mumbai,Mumbai,Flight,Hotel,Non-Vegetarian,Relaxation,Leisure,15,Summer,October,1,2738,Adventure Sports,Hotel Membership,High,11089,10206,2754,4709,Youth,High,49058
Bangalore,Bangalore,Flight,Hostel,Budget Meals,Relaxation,Adventure,7,Winter,October,2,2473,Adventure Sports,Travel Discounts,Low,1542,12234,1191,2876,Senior,Low,16894
Kolkata,Kolkata,Car,Hotel,Budget Meals,Shopping,Adventure,8,Autumn,July,4,1024,Beaches,None,High,8602,14066,4401,5437,Adult,High,26040
Bangalore,Kerala,Train,Homestay,Budget Meals,Cultural Events,Pilgrimage,13,Summer,July,6,2940,Adventure Sports,Travel Discounts,Low,6172,18375,836,2095,Senior,High,31244
Mumbai,Goa,Car,Hotel,Local Cuisine,Shopping,Pilgrimage,4,Monsoon,July,5,2720,Adventure Sports,Travel Discounts,Low,4961,7387,4759,6028,Senior,High,31488
Mumbai,Goa,Car,Resort,Vegetarian,Trekking,Pilgrimage,12,Summer,June,5,93,Historical Sites,Travel Discounts,High,12882,10283,2563,3663,Youth,Low,37669
Kolkata,Varanasi,Flight,Hostel,Local Cuisine,Relaxation,Work,7,Winter,January,5,2739,Shopping,Travel Discounts,Low,10274,7054,1408,3518,Adult,Middle,33712
Kolkata,Varanasi,Flight,Hotel,Non-Vegetarian,Trekking,Pilgrimage,11,Autumn,November,1,2666,Religious Sites,None,High,7271,13733,3225,1484,Adult,Middle,5896
Kolkata,Kolkata,Flight,Hostel,Vegetarian,Cultural Events,Leisure,13,Summer,August,1,2064,Beaches,Travel Discounts,Low,11540,4481,4117,4743,Youth,Low,15090
Mumbai,Mumbai,Bus,Resort,Budget Meals,Cultural Events,Work,10,Winter,February,5,1076,Religious Sites,Hotel Membership,Low,6403,13823,530,8944,Senior,Middle,41127
Kolkata,Kolkata,Train,Hostel,Vegetarian,Shopping,Adventure,8,Autumn,July,4,337,Religious Sites,Hotel Membership,Medium,7563,2808,1242,6485,Senior,Middle,38275
Mumbai,Goa,Bus,Homestay,Budget Meals,Trekking,Adventure,11,Winter,August,3,2703,Wildlife,Hotel Membership,Medium,2749,12772,4485,1890,Senior,Middle,36741
Delhi,Shimla,Car,Resort,Local Cuisine,Trekking,Work,12,Summer,March,1,840,Religious Sites,Travel Discounts,Medium,1268,2213,3279,1418,Adult,High,30098
Kolkata,Kolkata,Flight,Homestay,Budget Meals,Cultural Events,Adventure,13,Winter,July,1,917,Shopping,Airline Miles,Low,1312,16440,875,4476,Senior,High,47730
Kolkata,Varanasi,Flight,Hostel,Local Cuisine,Sightseeing,Adventure,4,Summer,January,2,2641,Historical Sites,None,Medium,10748,8227,1016,3820,Adult,Middle,39468
Mumbai,Goa,Train,Resort,Non-Vegetarian,Sightseeing,Adventure,15,Autumn,June,1,2852,Beaches,None,High,13411,14603,1876,6560,Senior,Low,22368
Bangalore,Bangalore,Car,Hotel,Local Cuisine,Relaxation,Adventure,8,Autumn,April,5,216,Shopping,Travel Discounts,High,1118,6879,1230,5148,Adult,High,46077
Kolkata,Varanasi,Flight,Hotel,Non-Vegetarian,Shopping,Work,14,Autumn,December,2,894,Wildlife,None,High,12750,17380,1221,5434,Adult,Middle,10923
Bangalore,Kerala,Flight,Resort,Non-Vegetarian,Shopping,Leisure,3,Winter,September,2,836,Wildlife,Hotel Membership,High,2846,5889,4386,8651,Youth,Low,26258
Mumbai,Mumbai,Bus,Homestay,Budget Meals,Trekking,Work,11,Winter,January,6,1541,Religious Sites,None,Low,1859,18608,1940,3089,Youth,Middle,32004
Delhi,Rajasthan,Train,Hostel,Vegetarian,Relaxation,Adventure,12,Winter,February,2,1871,Beaches,Hotel Membership,High,4884,14519,2138,6652,Youth,Low,49769
Kolkata,Varanasi,Train,Hostel,Budget Meals,Shopping,Adventure,7,Autumn,October,4,272,Beaches,Hotel Membership,Medium,12793,7362,3437,4918,Youth,Middle,48702
Kolkata,Varanasi,Bus,Hostel,Vegetarian,Cultural Events,Pilgrimage,12,Summer,January,6,2379,Beaches,Airline Miles,High,5835,6137,1892,9971,Senior,Low,24605
Kolkata,Kolkata,Bus,Resort,Local Cuisine,Trekking,Adventure,10,Winter,July,5,2053,Religious Sites,Airline Miles,Medium,8114,19987,2321,2940,Senior,Low,11989
Kolkata,Kolkata,Bus,Homestay,Local Cuisine,Sightseeing,Adventure,7,Autumn,January,1,1977,Wildlife,Travel Discounts,High,2361,19300,601,7162,Youth,Low,5530
Mumbai,Goa,Car,Homestay,Non-Vegetarian,Relaxation,Pilgrimage,6,Monsoon,May,2,2702,Religious Sites,None,Medium,13645,5542,3820,3530,Adult,High,46721
Bangalore,Bangalore,Bus,Hostel,Vegetarian,Sightseeing,Pilgrimage,15,Autumn,December,6,55,Shopping,Hotel Membership,Low,9887,19849,2196,1826,Senior,Middle,33889
Bangalore,Bangalore,Bus,Hostel,Vegetarian,Shopping,Pilgrimage,14,Winter,September,6,1540,Religious Sites,Hotel Membership,High,11619,19310,1048,9687,Senior,Low,32230
Delhi,Delhi,Train,Homestay,Local Cuisine,Trekking,Pilgrimage,10,Summer,June,2,2260,Shopping,Hotel Membership,Medium,9250,14858,2770,1392,Youth,Middle,24342
Delhi,Shimla,Flight,Resort,Vegetarian,Trekking,Work,13,Monsoon,August,4,2103,Shopping,None,Medium,2430,3627,3700,3429,Adult,Low,49197
Delhi,Jaipur,Bus,Hotel,Budget Meals,Sightseeing,Pilgrimage,11,Winter,March,3,508,Beaches,Airline Miles,Medium,7883,15544,675,5276,Youth,Low,13099
Delhi,Shimla,Bus,Resort,Local Cuisine,Sightseeing,Work,10,Winter,April,5,2690,Wildlife,Travel Discounts,Low,3161,11043,1906,4759,Youth,Middle,6640
Delhi,Jaipur,Bus,Hostel,Vegetarian,Cultural Events,Pilgrimage,13,Monsoon,May,1,657,Religious Sites,Airline Miles,Low,12351,6029,1820,4397,Youth,Low,31758
Delhi,Rajasthan,Flight,Hotel,Local Cuisine,Cultural Events,Leisure,4,Monsoon,October,2,1855,Beaches,Hotel Membership,Medium,8347,18690,1831,9243,Adult,Low,20387
Delhi,Rajasthan,Car,Resort,Local Cuisine,Relaxation,Adventure,12,Winter,July,4,645,Beaches,Travel Discounts,Low,11926,5819,4121,6049,Senior,Low,15126
Bangalore,Kerala,Car,Resort,Local Cuisine,Sightseeing,Pilgrimage,6,Autumn,January,2,2827,Historical Sites,None,High,10963,7394,4812,4139,Adult,Low,34057
Delhi,Delhi,Bus,Hotel,Local Cuisine,Relaxation,Pilgrimage,3,Winter,February,5,1874,Beaches,Hotel Membership,High,12730,15012,3528,6826,Adult,Low,31092
Delhi,Delhi,Flight,Resort,Vegetarian,Trekking,Leisure,3,Monsoon,June,3,1311,Beaches,Travel Discounts,High,14200,14888,3893,2786,Senior,High,26856
Delhi,Rajasthan,Train,Hotel,Non-Vegetarian,Relaxation,Work,6,Winter,March,2,1292,Historical Sites,Travel Discounts,Medium,7791,6730,4285,9804,Youth,Low,26532
Bangalore,Bangalore,Flight,Homestay,Non-Vegetarian,Trekking,Pilgrimage,15,Summer,July,3,2318,Adventure Sports,Airline Miles,High,3523,9607,2958,8242,Youth,High,16435
Mumbai,Goa,Train,Hotel,Local Cuisine,Trekking,Pilgrimage,3,Monsoon,July,2,2064,Historical Sites,Travel Discounts,Medium,5225,16598,1479,6614,Senior,High,16419
Mumbai,Goa,Train,Resort,Vegetarian,Sightseeing,Adventure,10,Winter,May,2,2432,Adventure Sports,None,Medium,7873,12664,899,5249,Adult,High,28726
Bangalore,Bangalore,Flight,Resort,Non-Vegetarian,Relaxation,Leisure,14,Winter,September,2,2622,Wildlife,Hotel Membership,Low,12277,12879,1285,9255,Senior,Middle,48181
Mumbai,Mumbai,Car,Hotel,Vegetarian,Cultural Events,Adventure,9,Summer,January,2,2172,Religious Sites,Airline Miles,Low,4622,7174,4806,9217,Senior,High,49964
Kolkata,Varanasi,Car,Hotel,Vegetarian,Shopping,Work,4,Winter,July,4,362,Historical Sites,Airline Miles,Low,9570,12208,1910,5491,Youth,High,13270
Bangalore,Bangalore,Bus,Resort,Local Cuisine,Cultural Events,Adventure,4,Winter,April,2,2893,Adventure Sports,Travel Discounts,High,2273,1616,4467,7565,Youth,Low,12498
Delhi,Jaipur,Train,Resort,Budget Meals,Trekking,Adventure,8,Winter,January,6,2153,Historical Sites,None,High,10859,7730,2138,3527,Senior,Middle,34720
Kolkata,Kolkata,Flight,Homestay,Budget Meals,Shopping,Pilgrimage,8,Winter,February,2,1186,Beaches,None,High,9664,8110,2069,5117,Youth,High,15003
Kolkata,Varanasi,Flight,Hotel,Vegetarian,Sightseeing,Adventure,4,Winter,December,1,926,Shopping,Airline Miles,Medium,7948,8021,4712,4228,Adult,Low,29421
Delhi,Jaipur,Flight,Homestay,Vegetarian,Cultural Events,Pilgrimage,13,Monsoon,February,4,501,Adventure Sports,None,Medium,2895,13608,2823,7986,Senior,High,32717
Mumbai,Goa,Bus,Homestay,Local Cuisine,Sightseeing,Work,5,Monsoon,November,4,975,Religious Sites,Airline Miles,Low,9055,4446,3747,7677,Senior,High,48039
Delhi,Delhi,Flight,Homestay,Local Cuisine,Sightseeing,Pilgrimage,12,Winter,February,2,1667,Shopping,Hotel Membership,Low,14828,14247,1505,4315,Adult,High,19821
Delhi,Jaipur,Flight,Homestay,Vegetarian,Trekking,Pilgrimage,14,Autumn,May,6,2433,Adventure Sports,Airline Miles,High,3001,9214,4508,8647,Youth,High,25249
Delhi,Shimla,Flight,Hostel,Non-Vegetarian,Relaxation,Adventure,4,Summer,January,1,266,Shopping,Airline Miles,Low,11211,4156,1126,9018,Adult,Middle,14297
Mumbai,Goa,Flight,Hostel,Budget Meals,Cultural Events,Adventure,8,Summer,May,6,2089,Wildlife,None,Medium,6153,13331,4125,8031,Youth,Low,15315
Mumbai,Mumbai,Bus,Hotel,Vegetarian,Trekking,Work,15,Summer,September,6,1291,Religious Sites,Travel Discounts,Low,12059,17074,4918,9875,Adult,Middle,45490
Bangalore,Kerala,Bus,Resort,Budget Meals,Cultural Events,Adventure,9,Summer,September,1,1653,Wildlife,None,Low,1739,5200,3501,6215,Senior,High,22902
